year_half_created_at,store_name,tpv
2024-H1,G Coffee @ Bandar Seri Mulia,8048277.000000
2024-H1,G Coffee @ Alam Tun Hussein Onn,8041829.500000
2024-H1,G Coffee @ Kondominium Putra,8028124.000000
2024-H1,G Coffee @ Damansara Saujana,8029206.500000
2024-H1,G Coffee @ PJS8,8048415.000000
2024-H1,G Coffee @ Seksyen 21,8070219.000000
2024-H1,G Coffee @ USJ 89q,8042550.500000
2024-H1,G Coffee @ USJ 57W,8053387.000000
2024-H1,G Coffee @ Taman Damansara,8065365.000000
2024-H1,G Coffee @ Kampung Changkat,8053107.500000
2025-H1,G Coffee @ Taman Damansara,7968619.000000
2025-H1,G Coffee @ Damansara Saujana,7971979.500000
2025-H1,G Coffee @ USJ 89q,7967688.500000
2025-H1,G Coffee @ Kondominium Putra,8007511.000000
2025-H1,G Coffee @ Bandar Seri Mulia,7973890.000000
2025-H1,G Coffee @ Alam Tun Hussein Onn,7957288.000000
2025-H1,G Coffee @ Kampung Changkat,8024176.500000
2025-H1,G Coffee @ USJ 57W,7992679.000000
2025-H1,G Coffee @ PJS8,7989533.500000
2025-H1,G Coffee @ Seksyen 21,7991684.000000
